name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Henry Cejudo,Bantamweight Division16-5-0 (W-L-D),16-5-0,https://www.ufc.com/athlete/henry-cejudo,,,,,,,,2025-07-14T01:39:13.393369
Aiemann Zahabi,Featherweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/aiemann-zahabi,,,,,,,,2025-07-14T01:39:14.470913
Kyler Phillips,Bantamweight Division12-3-0 (W-L-D),12-3-0,https://www.ufc.com/athlete/kyler-phillips,,,,,,,,2025-07-14T01:39:15.553859
Marcus McGhee,Bantamweight Division10-1-0 (W-L-D),10-1-0,https://www.ufc.com/athlete/marcus-mcghee,,,,,,,,2025-07-14T01:39:16.637212
Montel Jackson,Bantamweight Division16-2-0 (W-L-D),16-2-0,https://www.ufc.com/athlete/montel-jackson,,,,,,,,2025-07-14T01:39:17.727888
Vinicius Oliveira,Bantamweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/vinicius-oliveira,,,,,,,,2025-07-14T01:39:18.827521
Max Holloway,Featherweight Division26-8-0 (W-L-D),26-8-0,https://www.ufc.com/athlete/max-holloway,,,,,,,,2025-07-14T01:39:19.922336
Movsar Evloev,Featherweight Division19-0-0 (W-L-D),19-0-0,https://www.ufc.com/athlete/movsar-evloev,,,,,,,,2025-07-14T01:39:21.019534
Diego Lopes,Featherweight Division26-7-0 (W-L-D),26-7-0,https://www.ufc.com/athlete/diego-lopes,,,,,,,,2025-07-14T01:39:22.114638
Yair Rodriguez,Featherweight Division21-5-0 (W-L-D),21-5-0,https://www.ufc.com/athlete/yair-rodriguez,,,,,,,,2025-07-14T01:39:23.211130
Arnold Allen,Featherweight Division20-3-0 (W-L-D),20-3-0,https://www.ufc.com/athlete/arnold-allen,,,,,,,,2025-07-14T01:39:24.307106
Brian Ortega,Featherweight Division16-4-0 (W-L-D),16-4-0,https://www.ufc.com/athlete/brian-ortega,,,,,,,,2025-07-14T01:39:25.405014
Lerone Murphy,Featherweight Division16-0-1 (W-L-D),16-0-1,https://www.ufc.com/athlete/lerone-murphy,,,,,,,,2025-07-14T01:39:26.482228
Aljamain Sterling,Featherweight Division24-5-0 (W-L-D),24-5-0,https://www.ufc.com/athlete/aljamain-sterling,,,,,,,,2025-07-14T01:39:27.569242
Josh Emmett,Featherweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/josh-emmett,,,,,,,,2025-07-14T01:39:28.665884
Jean Silva,Featherweight Division16-2-0 (W-L-D),16-2-0,https://www.ufc.com/athlete/jean-silva,,,,,,,,2025-07-14T01:39:29.763513
