rank,name,division,url,scraped_at,is_champion
7,Lerone Murphy,Featherweight,https://www.ufc.com/athlete/lerone-murphy,2025-07-23T14:40:12.056249,False
8,Aljamain Sterling,Featherweight,https://www.ufc.com/athlete/aljamain-sterling,2025-07-23T14:40:12.056272,False
9,Josh Emmett,Featherweight,https://www.ufc.com/athlete/josh-emmett,2025-07-23T14:40:12.056297,False
10,Youssef Zalal,Featherweight,https://www.ufc.com/athlete/youssef-zalal,2025-07-23T14:40:12.056318,False
11,Jean Silva,Featherweight,https://www.ufc.com/athlete/jean-silva,2025-07-23T14:40:12.056340,False
12,Patricio Pitbull,Featherweight,https://www.ufc.com/athlete/patricio-pitbull-freire,2025-07-23T14:40:12.056362,False
13,Steve Garcia,Featherweight,https://www.ufc.com/athlete/steve-garcia,2025-07-23T14:40:12.056381,False
14,David Onama,Featherweight,https://www.ufc.com/athlete/david-onama,2025-07-23T14:40:12.056403,False
15,Dan Ige,Featherweight,https://www.ufc.com/athlete/dan-ige,2025-07-23T14:40:12.056426,False
16,Giga Chikadze,Featherweight,https://www.ufc.com/athlete/giga-chikadze,2025-07-23T14:40:12.056445,False
1,Ilia Topuria,Lightweight,https://www.ufc.com/athlete/ilia-topuria,2025-07-23T14:40:12.057307,True
2,Islam Makhachev,Lightweight,https://www.ufc.com/athlete/islam-makhachev,2025-07-23T14:40:12.057334,False
3,Arman Tsarukyan,Lightweight,https://www.ufc.com/athlete/arman-tsarukyan,2025-07-23T14:40:12.057356,False
4,Charles Oliveira,Lightweight,https://www.ufc.com/athlete/charles-oliveira,2025-07-23T14:40:12.057374,False
5,Max Holloway,Lightweight,https://www.ufc.com/athlete/max-holloway,2025-07-23T14:40:12.057392,False
6,Justin Gaethje,Lightweight,https://www.ufc.com/athlete/justin-gaethje,2025-07-23T14:40:12.057410,False
7,Dan Hooker,Lightweight,https://www.ufc.com/athlete/dan-hooker,2025-07-23T14:40:12.057428,False
8,Mateusz Gamrot,Lightweight,https://www.ufc.com/athlete/mateusz-gamrot,2025-07-23T14:40:12.057450,False
9,Beneil Dariush,Lightweight,https://www.ufc.com/athlete/beneil-dariush,2025-07-23T14:40:12.057468,False
10,Paddy Pimblett,Lightweight,https://www.ufc.com/athlete/paddy-pimblett,2025-07-23T14:40:12.057486,False
11,Rafael Fiziev,Lightweight,https://www.ufc.com/athlete/rafael-fiziev,2025-07-23T14:40:12.057503,False
12,Renato Moicano,Lightweight,https://www.ufc.com/athlete/renato-moicano,2025-07-23T14:40:12.057702,False
13,Michael Chandler,Lightweight,https://www.ufc.com/athlete/michael-chandler,2025-07-23T14:40:12.057745,False
14,Benoît Saint Denis,Lightweight,https://www.ufc.com/athlete/benoit-saint-denis,2025-07-23T14:40:12.057808,False
15,Grant Dawson,Lightweight,https://www.ufc.com/athlete/grant-dawson,2025-07-23T14:40:12.057880,False
16,Joel Álvarez,Lightweight,https://www.ufc.com/athlete/joel-alvarez,2025-07-23T14:40:12.057914,False
1,Jack Della Maddalena,Welterweight,https://www.ufc.com/athlete/jack-della-maddalena,2025-07-23T14:40:12.058796,True
2,Belal Muhammad,Welterweight,https://www.ufc.com/athlete/belal-muhammad,2025-07-23T14:40:12.058834,False
3,Sean Brady,Welterweight,https://www.ufc.com/athlete/sean-brady,2025-07-23T14:40:12.058861,False
4,Shavkat Rakhmonov,Welterweight,https://www.ufc.com/athlete/shavkat-rakhmonov,2025-07-23T14:40:12.058882,False
5,Leon Edwards,Welterweight,https://www.ufc.com/athlete/leon-edwards,2025-07-23T14:40:12.058902,False
6,Kamaru Usman,Welterweight,https://www.ufc.com/athlete/kamaru-usman,2025-07-23T14:40:12.058921,False
