rank,name,division,url,scraped_at,is_champion
8,Mateusz Gamrot,Lightweight,https://www.ufc.com/athlete/mateusz-gamrot,2025-07-23T14:28:55.481584,False
9,Beneil Dariush,Lightweight,https://www.ufc.com/athlete/beneil-dariush,2025-07-23T14:28:55.481603,False
10,Paddy Pimblett,Lightweight,https://www.ufc.com/athlete/paddy-pimblett,2025-07-23T14:28:55.481621,False
11,Rafael Fiziev,Lightweight,https://www.ufc.com/athlete/rafael-fiziev,2025-07-23T14:28:55.481639,False
12,Renato Moicano,Lightweight,https://www.ufc.com/athlete/renato-moicano,2025-07-23T14:28:55.481657,False
13,Michael Chandler,Lightweight,https://www.ufc.com/athlete/michael-chandler,2025-07-23T14:28:55.481675,False
14,Benoît Saint Denis,Lightweight,https://www.ufc.com/athlete/benoit-saint-denis,2025-07-23T14:28:55.481693,False
15,Grant Dawson,Lightweight,https://www.ufc.com/athlete/grant-dawson,2025-07-23T14:28:55.481712,False
16,Joel Álvarez,Lightweight,https://www.ufc.com/athlete/joel-alvarez,2025-07-23T14:28:55.481729,False
1,Jack Della Maddalena,Welterweight,https://www.ufc.com/athlete/jack-della-maddalena,2025-07-23T14:28:55.481819,True
2,Belal Muhammad,Welterweight,https://www.ufc.com/athlete/belal-muhammad,2025-07-23T14:28:55.481869,False
3,Sean Brady,Welterweight,https://www.ufc.com/athlete/sean-brady,2025-07-23T14:28:55.481891,False
4,Shavkat Rakhmonov,Welterweight,https://www.ufc.com/athlete/shavkat-rakhmonov,2025-07-23T14:28:55.481911,False
5,Leon Edwards,Welterweight,https://www.ufc.com/athlete/leon-edwards,2025-07-23T14:28:55.481929,False
6,Kamaru Usman,Welterweight,https://www.ufc.com/athlete/kamaru-usman,2025-07-23T14:28:55.481947,False
7,Ian Machado Garry,Welterweight,https://www.ufc.com/athlete/ian-garry,2025-07-23T14:28:55.481965,False
8,Michael Morales,Welterweight,https://www.ufc.com/athlete/michael-morales,2025-07-23T14:28:55.481983,False
9,Joaquin Buckley,Welterweight,https://www.ufc.com/athlete/joaquin-buckley,2025-07-23T14:28:55.482002,False
10,Colby Covington,Welterweight,https://www.ufc.com/athlete/colby-covington,2025-07-23T14:28:55.482021,False
11,Geoff Neal,Welterweight,https://www.ufc.com/athlete/geoff-neal,2025-07-23T14:28:55.482038,False
12,Gilbert Burns,Welterweight,https://www.ufc.com/athlete/gilbert-burns,2025-07-23T14:28:55.482056,False
13,Carlos Prates,Welterweight,https://www.ufc.com/athlete/carlos-prates,2025-07-23T14:28:55.482073,False
14,Gabriel Bonfim,Welterweight,https://www.ufc.com/athlete/gabriel-bonfim,2025-07-23T14:28:55.482092,False
15,Daniel Rodriguez,Welterweight,https://www.ufc.com/athlete/daniel-rodriguez,2025-07-23T14:28:55.482110,False
16,Michael Page,Welterweight,https://www.ufc.com/athlete/michael-page,2025-07-23T14:28:55.482127,False
1,Dricus Du Plessis,Middleweight,https://www.ufc.com/athlete/dricus-du-plessis,2025-07-23T14:28:55.482220,True
2,Nassourdine Imavov,Middleweight,https://www.ufc.com/athlete/nassourdine-imavov,2025-07-23T14:28:55.482273,False
3,Sean Strickland,Middleweight,https://www.ufc.com/athlete/sean-strickland,2025-07-23T14:28:55.482296,False
4,Khamzat Chimaev,Middleweight,https://www.ufc.com/athlete/khamzat-chimaev,2025-07-23T14:28:55.482316,False
5,Israel Adesanya,Middleweight,https://www.ufc.com/athlete/israel-adesanya,2025-07-23T14:28:55.482335,False
6,Robert Whittaker,Middleweight,https://www.ufc.com/athlete/robert-whittaker,2025-07-23T14:28:55.482352,False
7,Caio Borralho,Middleweight,https://www.ufc.com/athlete/caio-borralho,2025-07-23T14:28:55.482371,False
8,Jared Cannonier,Middleweight,https://www.ufc.com/athlete/jared-cannonier,2025-07-23T14:28:55.482408,False
9,Roman Dolidze,Middleweight,https://www.ufc.com/athlete/roman-dolidze,2025-07-23T14:28:55.482427,False
10,Anthony Hernandez,Middleweight,https://www.ufc.com/athlete/anthony-hernandez,2025-07-23T14:28:55.482446,False
11,Brendan Allen,Middleweight,https://www.ufc.com/athlete/brendan-allen,2025-07-23T14:28:55.482464,False
12,Paulo Costa,Middleweight,https://www.ufc.com/athlete/paulo-costa,2025-07-23T14:28:55.482482,False
13,Marvin Vettori,Middleweight,https://www.ufc.com/athlete/marvin-vettori,2025-07-23T14:28:55.482500,False
14,Reinier de Ridder,Middleweight,https://www.ufc.com/athlete/reinier-de-ridder,2025-07-23T14:28:55.482519,False
15,Abus Magomedov,Middleweight,https://www.ufc.com/athlete/abus-magomedov,2025-07-23T14:28:55.482537,False
16,Roman Kopylov,Middleweight,https://www.ufc.com/athlete/roman-kopylov,2025-07-23T14:28:55.482554,False
1,Magomed Ankalaev,Light Heavyweight,https://www.ufc.com/athlete/magomed-ankalaev,2025-07-23T14:28:55.482646,True
2,Alex Pereira,Light Heavyweight,https://www.ufc.com/athlete/alex-pereira,2025-07-23T14:28:55.482695,False
3,Jiří Procházka,Light Heavyweight,https://www.ufc.com/athlete/jiri-prochazka,2025-07-23T14:28:55.482717,False
4,Carlos Ulberg,Light Heavyweight,https://www.ufc.com/athlete/carlos-ulberg,2025-07-23T14:28:55.482736,False
5,Khalil Rountree Jr.,Light Heavyweight,https://www.ufc.com/athlete/khalil-rountree-jr,2025-07-23T14:28:55.482755,False
6,Jan Błachowicz,Light Heavyweight,https://www.ufc.com/athlete/jan-blachowicz,2025-07-23T14:28:55.482774,False
7,Jamahal Hill,Light Heavyweight,https://www.ufc.com/athlete/jamahal-hill,2025-07-23T14:28:55.482792,False
8,Aleksandar Rakić,Light Heavyweight,https://www.ufc.com/athlete/aleksandar-rakic,2025-07-23T14:28:55.482812,False
9,Dominick Reyes,Light Heavyweight,https://www.ufc.com/athlete/dominick-reyes,2025-07-23T14:28:55.482831,False
10,Volkan Oezdemir,Light Heavyweight,https://www.ufc.com/athlete/volkan-oezdemir,2025-07-23T14:28:55.482849,False
11,Nikita Krylov,Light Heavyweight,https://www.ufc.com/athlete/nikita-krylov,2025-07-23T14:28:55.482868,False
12,Azamat Murzakanov,Light Heavyweight,https://www.ufc.com/athlete/azamat-murzakanov,2025-07-23T14:28:55.482886,False
13,Johnny Walker,Light Heavyweight,https://www.ufc.com/athlete/johnny-walker,2025-07-23T14:28:55.482903,False
14,Bogdan Guskov,Light Heavyweight,https://www.ufc.com/athlete/bogdan-guskov,2025-07-23T14:28:55.482921,False
15,Zhang Mingyang,Light Heavyweight,https://www.ufc.com/athlete/zhang-mingyang,2025-07-23T14:28:55.482938,False
16,Alonzo Menifield,Light Heavyweight,https://www.ufc.com/athlete/alonzo-menifield,2025-07-23T14:28:55.482956,False
1,Tom Aspinall,Heavyweight,https://www.ufc.com/athlete/tom-aspinall,2025-07-23T14:28:55.483045,True
2,Ciryl Gane,Heavyweight,https://www.ufc.com/athlete/ciryl-gane,2025-07-23T14:28:55.483097,False
3,Alexander Volkov,Heavyweight,https://www.ufc.com/athlete/alexander-volkov,2025-07-23T14:28:55.483121,False
4,Sergei Pavlovich,Heavyweight,https://www.ufc.com/athlete/sergei-pavlovich,2025-07-23T14:28:55.483145,False
5,Curtis Blaydes,Heavyweight,https://www.ufc.com/athlete/curtis-blaydes,2025-07-23T14:28:55.483169,False
6,Jailton Almeida,Heavyweight,https://www.ufc.com/athlete/jailton-almeida,2025-07-23T14:28:55.483191,False
7,Waldo Cortes Acosta,Heavyweight,https://www.ufc.com/athlete/waldo-cortes-acosta,2025-07-23T14:28:55.483213,False
8,Marcin Tybura,Heavyweight,https://www.ufc.com/athlete/marcin-tybura,2025-07-23T14:28:55.483236,False
9,Serghei Spivac,Heavyweight,https://www.ufc.com/athlete/serghei-spivac,2025-07-23T14:28:55.483254,False
10,Derrick Lewis,Heavyweight,https://www.ufc.com/athlete/derrick-lewis,2025-07-23T14:28:55.483278,False
11,Tai Tuivasa,Heavyweight,https://www.ufc.com/athlete/tai-tuivasa,2025-07-23T14:28:55.483298,False
12,Shamil Gaziev,Heavyweight,https://www.ufc.com/athlete/shamil-gaziev,2025-07-23T14:28:55.483321,False
13,Mick Parkin,Heavyweight,https://www.ufc.com/athlete/mick-parkin,2025-07-23T14:28:55.483344,False
14,Martin Buday,Heavyweight,https://www.ufc.com/athlete/martin-buday,2025-07-23T14:28:55.483367,False
15,Tallison Teixeira,Heavyweight,https://www.ufc.com/athlete/tallison-teixeira,2025-07-23T14:28:55.483387,False
16,Rizvan Kuniev,Heavyweight,https://www.ufc.com/athlete/rizvan-kuniev,2025-07-23T14:28:55.483409,False
1,Valentina Shevchenko,Women's Pound-for-Pound,https://www.ufc.com/athlete/valentina-shevchenko,2025-07-23T14:28:55.483504,True
2,Zhang Weili,Women's Pound-for-Pound,https://www.ufc.com/athlete/weili-zhang,2025-07-23T14:28:55.483568,False
3,Kayla Harrison,Women's Pound-for-Pound,https://www.ufc.com/athlete/kayla-harrison,2025-07-23T14:28:55.483589,False
4,Manon Fiorot,Women's Pound-for-Pound,https://www.ufc.com/athlete/manon-fiorot,2025-07-23T14:28:55.483616,False
5,Julianna Peña,Women's Pound-for-Pound,https://www.ufc.com/athlete/julianna-pena,2025-07-23T14:28:55.483640,False
6,Natalia Silva,Women's Pound-for-Pound,https://www.ufc.com/athlete/natalia-silva,2025-07-23T14:28:55.483661,False
7,Alexa Grasso,Women's Pound-for-Pound,https://www.ufc.com/athlete/alexa-grasso,2025-07-23T14:28:55.483680,False
8,Erin Blanchfield,Women's Pound-for-Pound,https://www.ufc.com/athlete/erin-blanchfield,2025-07-23T14:28:55.483701,False
9,Virna Jandiroba,Women's Pound-for-Pound,https://www.ufc.com/athlete/virna-jandiroba,2025-07-23T14:28:55.483720,False
10,Raquel Pennington,Women's Pound-for-Pound,https://www.ufc.com/athlete/raquel-pennington,2025-07-23T14:28:55.483738,False
11,Tatiana Suarez,Women's Pound-for-Pound,https://www.ufc.com/athlete/tatiana-suarez,2025-07-23T14:28:55.483756,False
12,Rose Namajunas,Women's Pound-for-Pound,https://www.ufc.com/athlete/rose-namajunas,2025-07-23T14:28:55.483774,False
13,Yan Xiaonan,Women's Pound-for-Pound,https://www.ufc.com/athlete/xiaonan-yan,2025-07-23T14:28:55.483793,False
14,Amanda Lemos,Women's Pound-for-Pound,https://www.ufc.com/athlete/amanda-lemos,2025-07-23T14:28:55.483816,False
15,Maycee Barber,Women's Pound-for-Pound,https://www.ufc.com/athlete/maycee-barber,2025-07-23T14:28:55.483842,False
