rank,name,division,url,record,scraped_at
9,Youssef Zalal,Featherweight,https://www.ufc.com/athlete/youssef-zalal,,2025-07-23T12:43:27.512787
10,Jean Silva,Featherweight,https://www.ufc.com/athlete/jean-silva,,2025-07-23T12:43:27.512812
11,Patricio Pitbull,Featherweight,https://www.ufc.com/athlete/patricio-pitbull-freire,,2025-07-23T12:43:27.512837
12,Steve Garcia,Featherweight,https://www.ufc.com/athlete/steve-garcia,,2025-07-23T12:43:27.512863
13,David Onama,Featherweight,https://www.ufc.com/athlete/david-onama,,2025-07-23T12:43:27.512887
14,Dan Ige,Featherweight,https://www.ufc.com/athlete/dan-ige,,2025-07-23T12:43:27.512912
15,Giga Chikadze,Featherweight,https://www.ufc.com/athlete/giga-chikadze,,2025-07-23T12:43:27.512936
1,Islam Makhachev,Lightweight,https://www.ufc.com/athlete/islam-makhachev,,2025-07-23T12:43:27.513097
2,Arman Tsarukyan,Lightweight,https://www.ufc.com/athlete/arman-tsarukyan,,2025-07-23T12:43:27.513128
3,Charles Oliveira,Lightweight,https://www.ufc.com/athlete/charles-oliveira,,2025-07-23T12:43:27.513153
4,Max Holloway,Lightweight,https://www.ufc.com/athlete/max-holloway,,2025-07-23T12:43:27.513179
5,Justin Gaethje,Lightweight,https://www.ufc.com/athlete/justin-gaethje,,2025-07-23T12:43:27.513203
6,Dan Hooker,Lightweight,https://www.ufc.com/athlete/dan-hooker,,2025-07-23T12:43:27.513229
7,Mateusz Gamrot,Lightweight,https://www.ufc.com/athlete/mateusz-gamrot,,2025-07-23T12:43:27.513252
8,Beneil Dariush,Lightweight,https://www.ufc.com/athlete/beneil-dariush,,2025-07-23T12:43:27.513276
9,Paddy Pimblett,Lightweight,https://www.ufc.com/athlete/paddy-pimblett,,2025-07-23T12:43:27.513300
10,Rafael Fiziev,Lightweight,https://www.ufc.com/athlete/rafael-fiziev,,2025-07-23T12:43:27.513323
11,Renato Moicano,Lightweight,https://www.ufc.com/athlete/renato-moicano,,2025-07-23T12:43:27.513347
12,Michael Chandler,Lightweight,https://www.ufc.com/athlete/michael-chandler,,2025-07-23T12:43:27.513371
13,Benoît Saint Denis,Lightweight,https://www.ufc.com/athlete/benoit-saint-denis,,2025-07-23T12:43:27.513393
14,Grant Dawson,Lightweight,https://www.ufc.com/athlete/grant-dawson,,2025-07-23T12:43:27.513416
15,Joel Álvarez,Lightweight,https://www.ufc.com/athlete/joel-alvarez,,2025-07-23T12:43:27.513440
1,Belal Muhammad,Welterweight,https://www.ufc.com/athlete/belal-muhammad,,2025-07-23T12:43:27.513577
2,Sean Brady,Welterweight,https://www.ufc.com/athlete/sean-brady,,2025-07-23T12:43:27.513604
3,Shavkat Rakhmonov,Welterweight,https://www.ufc.com/athlete/shavkat-rakhmonov,,2025-07-23T12:43:27.513628
4,Leon Edwards,Welterweight,https://www.ufc.com/athlete/leon-edwards,,2025-07-23T12:43:27.513654
5,Kamaru Usman,Welterweight,https://www.ufc.com/athlete/kamaru-usman,,2025-07-23T12:43:27.513677
6,Ian Machado Garry,Welterweight,https://www.ufc.com/athlete/ian-garry,,2025-07-23T12:43:27.513699
7,Michael Morales,Welterweight,https://www.ufc.com/athlete/michael-morales,,2025-07-23T12:43:27.513722
