name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Henry Cejudo,Bantamweight Division16-5-0 (W-L-D),16-5-0,https://www.ufc.com/athlete/henry-cejudo,,,,,,,,2025-07-23T14:40:55.651380
Aiemann Zahabi,Featherweight Division13-2-0 (W-L-D),13-2-0,https://www.ufc.com/athlete/aiemann-zahabi,,,,,,,,2025-07-23T14:40:56.794478
Marcus McGhee,Bantamweight Division10-1-0 (W-L-D),10-1-0,https://www.ufc.com/athlete/marcus-mcghee,,,,,,,,2025-07-23T14:40:57.886606
Vinicius Oliveira,Bantamweight Division23-3-0 (W-L-D),23-3-0,https://www.ufc.com/athlete/vinicius-oliveira,,,,,,,,2025-07-23T14:40:58.971620
Kyler Phillips,Bantamweight Division12-4-0 (W-L-D),12-4-0,https://www.ufc.com/athlete/kyler-phillips,,,,,,,,2025-07-23T14:41:00.090507
Montel Jackson,Bantamweight Division16-2-0 (W-L-D),16-2-0,https://www.ufc.com/athlete/montel-jackson,,,,,,,,2025-07-23T14:41:01.278338
Movsar Evloev,Featherweight Division19-0-0 (W-L-D),19-0-0,https://www.ufc.com/athlete/movsar-evloev,,,,,,,,2025-07-23T14:41:02.390658
Diego Lopes,Featherweight Division26-7-0 (W-L-D),26-7-0,https://www.ufc.com/athlete/diego-lopes,,,,,,,,2025-07-23T14:41:03.474558
Yair Rodriguez,Featherweight Division21-5-0 (W-L-D),21-5-0,https://www.ufc.com/athlete/yair-rodriguez,,,,,,,,2025-07-23T14:41:04.587666
Arnold Allen,Featherweight Division20-3-0 (W-L-D),20-3-0,https://www.ufc.com/athlete/arnold-allen,,,,,,,,2025-07-23T14:41:05.703891
Brian Ortega,Featherweight Division16-4-0 (W-L-D),16-4-0,https://www.ufc.com/athlete/brian-ortega,,,,,,,,2025-07-23T14:41:06.844665
Lerone Murphy,Featherweight Division16-0-1 (W-L-D),16-0-1,https://www.ufc.com/athlete/lerone-murphy,,,,,,,,2025-07-23T14:41:07.970226
Aljamain Sterling,Featherweight Division24-5-0 (W-L-D),24-5-0,https://www.ufc.com/athlete/aljamain-sterling,,,,,,,,2025-07-23T14:41:09.094183
Josh Emmett,Featherweight Division19-5-0 (W-L-D),19-5-0,https://www.ufc.com/athlete/josh-emmett,,,,,,,,2025-07-23T14:41:10.207447
