name,date,venue,location,status,event_type,url,scraped_at
709,UFC Fight Night: Hernandez vs. Pereira,"Oct 19, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.894462
708,UFC Fight Night: Royval vs. Taira,"Oct 12, 2024",[54],completed,other,,2025-07-29T14:58:05.894504
707,UFC 307: Pereira vs. Rountree Jr.,"Oct 5, 2024",Delta Center,completed,other,,2025-07-29T14:58:05.894559
706,UFC Fight Night: Moicano vs. Saint Denis,"Sep 28, 2024",Accor Arena,completed,other,,2025-07-29T14:58:05.894614
705,UFC 306: O'Malley vs. Dvalishvili,"Sep 14, 2024",Sphere,completed,other,,2025-07-29T14:58:05.894669
704,UFC Fight Night: Burns vs. Brady,"Sep 7, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.894716
703,UFC on ESPN: Cannonier vs. Borralho,"Aug 24, 2024",[59],completed,other,,2025-07-29T14:58:05.894759
702,UFC 305: du Plessis vs. Adesanya,"Aug 18, 2024",RAC Arena,completed,other,,2025-07-29T14:58:05.894812
701,UFC on ESPN: Tybura vs. Spivac 2,"Aug 10, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.894863
700,UFC on ABC: Sandhagen vs. Nurmagomedov,"Aug 3, 2024",Etihad Arena,completed,other,,2025-07-29T14:58:05.894915
699,UFC 304: Edwards vs. Muhammad 2,"Jul 27, 2024",Co-op Live,completed,other,,2025-07-29T14:58:05.894966
698,UFC on ESPN: Lemos vs. Jandiroba,"Jul 20, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895017
697,UFC on ESPN: Namajunas vs. Cortez,"Jul 13, 2024",Ball Arena,completed,other,,2025-07-29T14:58:05.895069
696,UFC 303: Pereira vs. Procházka 2,"Jun 29, 2024",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.895137
695,UFC on ABC: Whittaker vs. Aliskerov,"Jun 22, 2024",Kingdom Arena,completed,other,,2025-07-29T14:58:05.895187
694,UFC on ESPN: Perez vs. Taira,"Jun 15, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895232
693,UFC on ESPN: Cannonier vs. Imavov,"Jun 8, 2024",KFC Yum! Center,completed,other,,2025-07-29T14:58:05.895283
692,UFC 302: Makhachev vs. Poirier,"Jun 1, 2024",Prudential Center,completed,other,,2025-07-29T14:58:05.895334
691,UFC Fight Night: Barboza vs. Murphy,"May 18, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895383
690,UFC on ESPN: Lewis vs. Nascimento,"May 11, 2024",Enterprise Center,completed,other,,2025-07-29T14:58:05.895435
689,UFC 301: Pantoja vs. Erceg,"May 4, 2024",Farmasi Arena,completed,other,,2025-07-29T14:58:05.895484
688,UFC on ESPN: Nicolau vs. Perez,"Apr 27, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895533
687,UFC 300: Pereira vs. Hill,"Apr 13, 2024",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.895588
686,UFC Fight Night: Allen vs. Curtis 2,"Apr 6, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895648
685,UFC on ESPN: Blanchfield vs. Fiorot,"Mar 30, 2024",Boardwalk Hall,completed,other,,2025-07-29T14:58:05.895713
684,UFC on ESPN: Ribas vs. Namajunas,"Mar 23, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895771
683,UFC Fight Night: Tuivasa vs. Tybura,"Mar 16, 2024",[79],completed,other,,2025-07-29T14:58:05.895826
682,UFC 299: O'Malley vs. Vera 2,"Mar 9, 2024",Kaseya Center,completed,other,,2025-07-29T14:58:05.895879
681,UFC Fight Night: Rozenstruik vs. Gaziev,"Mar 2, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.895933
680,UFC Fight Night: Moreno vs. Royval 2,"Feb 24, 2024",Arena CDMX,completed,other,,2025-07-29T14:58:05.895987
679,UFC 298: Volkanovski vs. Topuria,"Feb 17, 2024",Honda Center,completed,other,,2025-07-29T14:58:05.896040
678,UFC Fight Night: Hermansson vs. Pyfer,"Feb 10, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.896093
677,UFC Fight Night: Dolidze vs. Imavov,"Feb 3, 2024",[85],completed,other,,2025-07-29T14:58:05.896135
676,UFC 297: Strickland vs. du Plessis,"Jan 20, 2024",Scotiabank Arena,completed,other,,2025-07-29T14:58:05.896189
675,UFC Fight Night: Ankalaev vs. Walker 2,"Jan 13, 2024",UFC Apex,completed,other,,2025-07-29T14:58:05.896241
674,UFC 296: Edwards vs. Covington,"Dec 16, 2023",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.896290
673,UFC Fight Night: Song vs. Gutiérrez,"Dec 9, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.896337
672,UFC on ESPN: Dariush vs. Tsarukyan,"Dec 2, 2023",Moody Center,completed,other,,2025-07-29T14:58:05.896390
671,UFC Fight Night: Allen vs. Craig,"Nov 18, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.896440
670,UFC 295: Procházka vs. Pereira,"Nov 11, 2023",Madison Square Garden,completed,other,,2025-07-29T14:58:05.896493
669,UFC Fight Night: Almeida vs. Lewis,"Nov 4, 2023",Ginásio do Ibirapuera,completed,other,,2025-07-29T14:58:05.896546
668,UFC 294: Makhachev vs. Volkanovski 2,"Oct 21, 2023",Etihad Arena,completed,other,,2025-07-29T14:58:05.896599
667,UFC Fight Night: Yusuff vs. Barboza,"Oct 14, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.896648
666,UFC Fight Night: Dawson vs. Green,"Oct 7, 2023",[96],completed,other,,2025-07-29T14:58:05.896690
665,UFC Fight Night: Fiziev vs. Gamrot,"Sep 23, 2023",[97],completed,other,,2025-07-29T14:58:05.896731
664,UFC Fight Night: Grasso vs. Shevchenko 2,"Sep 16, 2023",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.896783
663,UFC 293: Adesanya vs. Strickland,"Sep 10, 2023",Qudos Bank Arena,completed,other,,2025-07-29T14:58:05.896836
662,UFC Fight Night: Gane vs. Spivac,"Sep 2, 2023",Accor Arena,completed,other,,2025-07-29T14:58:05.896892
661,UFC Fight Night: Holloway vs. The Korean Zombie,"Aug 26, 2023",Singapore Indoor Stadium,completed,other,,2025-07-29T14:58:05.896954
660,UFC 292: Sterling vs. O'Malley,"Aug 19, 2023",TD Garden,completed,other,,2025-07-29T14:58:05.897013
659,UFC on ESPN: Luque vs. dos Anjos,"Aug 12, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897072
658,UFC on ESPN: Sandhagen vs. Font,"Aug 5, 2023",Bridgestone Arena,completed,other,,2025-07-29T14:58:05.897128
657,UFC 291: Poirier vs. Gaethje 2,"Jul 29, 2023",Delta Center,completed,other,,2025-07-29T14:58:05.897237
656,UFC Fight Night: Aspinall vs. Tybura,"Jul 22, 2023",The O2 Arena,completed,other,,2025-07-29T14:58:05.897312
655,UFC on ESPN: Holm vs. Bueno Silva,"Jul 15, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897368
654,UFC 290: Volkanovski vs. Rodríguez,"Jul 8, 2023",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.897423
653,UFC on ESPN: Strickland vs. Magomedov,"Jul 1, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897482
652,UFC on ABC: Emmett vs. Topuria,"Jun 24, 2023",VyStar Veterans Memorial Arena,completed,other,,2025-07-29T14:58:05.897535
651,UFC on ESPN: Vettori vs. Cannonier,"Jun 17, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897586
650,UFC 289: Nunes vs. Aldana,"Jun 10, 2023",Rogers Arena,completed,other,,2025-07-29T14:58:05.897643
649,UFC on ESPN: Kara-France vs. Albazi,"Jun 3, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897701
648,UFC Fight Night: Dern vs. Hill,"May 20, 2023",[114],completed,other,,2025-07-29T14:58:05.897747
647,UFC on ABC: Rozenstruik vs. Almeida,"May 13, 2023",Spectrum Center,completed,other,,2025-07-29T14:58:05.897808
646,UFC 288: Sterling vs. Cejudo,"May 6, 2023",Prudential Center,completed,other,,2025-07-29T14:58:05.897874
645,UFC on ESPN: Song vs. Simón,"Apr 29, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.897933
644,UFC Fight Night: Pavlovich vs. Blaydes,"Apr 22, 2023",[118],completed,other,,2025-07-29T14:58:05.897977
643,UFC on ESPN: Holloway vs. Allen,"Apr 15, 2023",T-Mobile Center,completed,other,,2025-07-29T14:58:05.898045
642,UFC 287: Pereira vs. Adesanya 2,"Apr 8, 2023",Kaseya Center,completed,other,,2025-07-29T14:58:05.898097
641,UFC on ESPN: Vera vs. Sandhagen,"Mar 25, 2023",Frost Bank Center,completed,other,,2025-07-29T14:58:05.898149
640,UFC 286: Edwards vs. Usman 3,"Mar 18, 2023",The O2 Arena,completed,other,,2025-07-29T14:58:05.898201
639,UFC Fight Night: Yan vs. Dvalishvili,"Mar 11, 2023",The Theater at Virgin Hotels,completed,other,,2025-07-29T14:58:05.898253
638,UFC 285: Jones vs. Gane,"Mar 4, 2023",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.898298
637,UFC Fight Night: Muniz vs. Allen,"Feb 25, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.898343
636,UFC Fight Night: Andrade vs. Blanchfield,"Feb 18, 2023",[126],completed,other,,2025-07-29T14:58:05.898387
635,UFC 284: Makhachev vs. Volkanovski,"Feb 12, 2023",RAC Arena,completed,other,,2025-07-29T14:58:05.898439
634,UFC Fight Night: Lewis vs. Spivac,"Feb 4, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.898510
633,UFC 283: Teixeira vs. Hill,"Jan 21, 2023",Jeunesse Arena,completed,other,,2025-07-29T14:58:05.898561
632,UFC Fight Night: Strickland vs. Imavov,"Jan 14, 2023",UFC Apex,completed,other,,2025-07-29T14:58:05.898613
